2to3	python2-basic
clang-import-test	llvm
clang-offload-bundler	llvm
clang-refactor	llvm
clang-rename	llvm
classification_sample	computer-vision-basic
classification_sample_async	computer-vision-basic
cleanup_digikamdb	digikam
clear	sysadmin-basic
clinfo	os-testsuite-phoronix-server
clipaccumulate	perl-extras
clipbrowse	perl-extras
clipedit	perl-extras
clipfilter	perl-extras
clipjoin	perl-extras
cloc	cloc
clr-avx2-move.pl	os-core-dev
clr-boot-manager	sysadmin-basic
clr-boot-manager-motd.sh	sysadmin-basic
clr-desktop-files.sh	desktop
clr-fwupd-update	firmware-update
clr-installer	clr-installer
clr-installer-desktop.sh	clr-installer
clr-python-avx2	os-core-dev
clr-python-avx512	os-core-dev
clr-python-timestamp	os-core-dev
clr-pyversion-strip	os-core-dev
clr-service-restart	sysadmin-basic
clr-service-restart-motd.sh	sysadmin-basic
clr_debug_daemon	performance-tools
clr_debug_fuse	performance-tools
clr_power	os-core
clrtrust	p11-kit
cluster	graphviz
clusterdb	postgresql
cm108	amateur-radio
cm2html	Sphinx
cm2latex	Sphinx
cm2man	Sphinx
cm2pseudoxml	Sphinx
cm2xetex	Sphinx
cm2xml	Sphinx
cmake	c-basic
cmark	Sphinx
cmp	diffutils
cmsutil	cryptography
cmtime	hpc-utils
cockpit-bridge	cockpit
codiff	dev-utils
col	os-core
colcrt	os-core
collectl	sysadmin-basic
colmux	sysadmin-basic
colormgr	desktop
colorsvn	desktop-kde-apps
colrm	os-core
column	os-core
columns	c-basic
combine	os-testsuite-0day
combinediff	dev-utils
comm	os-core
compare	ImageMagick
compile-et.pl	devpkg-nspr
compile_et	os-cloudguest-aws
composite	ImageMagick
conf.py	storage-cluster
config_data	perl-extras
configure-printer	desktop-kde
conjure	ImageMagick
conky	conky
connect-proxy	network-basic
conntrack	network-basic
conntrackd	network-basic
consolehelper	package-utils
container-executor	big-data-basic
containerd	cloud-control
containerd-shim	cloud-control
containerd-shim-kata-v2	containers-virt
containerd-shim-runc-v1	cloud-control
containerd-stress	cloud-control
context	texlive
